epoch,accuracy,loss,val_accuracy,val_loss
0,0.8471707701683044,1.0590338706970215,0.8851887583732605,0.30946001410484314
1,0.9414309859275818,0.15974602103233337,0.9066795706748962,0.22711530327796936
2,0.9673208594322205,0.08994968235492706,0.9430783987045288,0.1582624465227127
3,0.9836245775222778,0.04777048900723457,0.9339786767959595,0.22731423377990723
4,0.9894336462020874,0.03227899596095085,0.9303001165390015,0.2829119563102722
5,0.9913700222969055,0.02740667201578617,0.9457889795303345,0.21791277825832367
6,0.9927565455436707,0.022847801446914673,0.9364956617355347,0.29291725158691406
7,0.993186891078949,0.021493803709745407,0.9353339672088623,0.274902880191803
8,0.9951232075691223,0.015798212960362434,0.947918713092804,0.2286176085472107
9,0.9941191673278809,0.0189819298684597,0.9366892576217651,0.35602498054504395
10,0.9959599375724792,0.01356916781514883,0.9421103596687317,0.28400102257728577
11,0.9966531991958618,0.011461257003247738,0.9484995007514954,0.2815379798412323
12,0.995768666267395,0.014182960614562035,0.939399778842926,0.3754819631576538
13,0.9965097904205322,0.012681552208960056,0.9378508925437927,0.42365431785583496
14,0.9972747564315796,0.00881551206111908,0.9316553473472595,0.422283411026001
15,0.9962468147277832,0.013732189312577248,0.9428848028182983,0.4341261684894562
16,0.9971791505813599,0.009500795044004917,0.9428848028182983,0.3558903634548187
17,0.9971552491188049,0.01033854391425848,0.9405614733695984,0.38030725717544556
18,0.9967010021209717,0.013104084879159927,0.941335916519165,0.3984261453151703
19,0.9972747564315796,0.010118597187101841,0.9469506144523621,0.32375040650367737
20,0.9971552491188049,0.013081724755465984,0.9450145363807678,0.37990474700927734
21,0.9972030520439148,0.00977739505469799,0.938044548034668,0.4593023359775543
22,0.9978006482124329,0.008357195183634758,0.9432719945907593,0.5100259780883789
23,0.9968922734260559,0.011585662141442299,0.9293320178985596,0.4439018666744232
24,0.9981353282928467,0.007115666754543781,0.9444336891174316,0.41578662395477295
